"","asignacion","ids_twitter"
"331","naim_bro",62367209
"332","naim_bro",61674517
"333","naim_bro",1186837793332436992
"334","naim_bro",41923656
"335","naim_bro",70016272
"336","naim_bro",2196135132
"337","naim_bro",2512942722
"338","naim_bro",492311535
"339","naim_bro",78707911
"340","naim_bro",3110444098
"341","naim_bro",112027356
"342","naim_bro",517915401
"343","naim_bro",1338893440910766080
"344","naim_bro",1404107585138143232
"345","naim_bro",2361666198
"346","naim_bro",72689772
"347","naim_bro",3447672321
"348","naim_bro",55436542
"349","naim_bro",54724322
"350","naim_bro",1343863071417094144
"351","naim_bro",92118011
"352","naim_bro",821856903689043968
"353","naim_bro",1360724927125598208
"354","naim_bro",56818041
"355","naim_bro",551232817
"356","naim_bro",772898546328694784
"357","naim_bro",2209123086
"358","naim_bro",1335750146064265216
"359","naim_bro",124046164
"360","naim_bro",111726341
"361","naim_bro",17681589
"362","naim_bro",376516710
"363","naim_bro",726513127244849152
"364","naim_bro",59913761
"365","naim_bro",1215372477209219072
"366","naim_bro",96168421
"367","naim_bro",899480978900627456
"368","naim_bro",348893700
"369","naim_bro",1085926368179834880
"370","naim_bro",291883556
"371","naim_bro",1083790305785245696
"372","naim_bro",790000751972089856
"373","naim_bro",65929720
"374","naim_bro",58880708
"375","naim_bro",1405341088404099072
"376","naim_bro",801420939590332416
"377","naim_bro",1356301368491962368
"378","naim_bro",92347579
"379","naim_bro",1344260545852166144
"380","naim_bro",118755223
"381","naim_bro",275004953
"382","naim_bro",3068051519
"383","naim_bro",4077634179
"384","naim_bro",1003719581003911168
"385","naim_bro",108106250
"386","naim_bro",389776679
"387","naim_bro",478998650
"388","naim_bro",121756482
"389","naim_bro",1384212992523313152
"390","naim_bro",1405962728771031040
"391","naim_bro",1401319912367349760
"392","naim_bro",600059006
"393","naim_bro",14177484
"394","naim_bro",2952365375
"395","naim_bro",22536285
"396","naim_bro",150071793
"397","naim_bro",357290041
"398","naim_bro",94320515
"399","naim_bro",971386754245775360
"400","naim_bro",118916296
"401","naim_bro",1344367514235654144
"402","naim_bro",1082659658253459456
"403","naim_bro",2191226900
"404","naim_bro",3273393871
"405","naim_bro",3295847680
"406","naim_bro",146883465
"407","naim_bro",348849311
"408","naim_bro",58660810
"409","naim_bro",1282504287378182144
"410","naim_bro",20381666
"411","naim_bro",1120373227
"412","naim_bro",281004185
"413","naim_bro",79546305
"414","naim_bro",1163846040824340480
"415","naim_bro",1268219961362833408
"416","naim_bro",1185387817620426752
"417","naim_bro",290168572
"418","naim_bro",987471660797308928
"419","naim_bro",812746680495960064
"420","naim_bro",69802976
"421","naim_bro",1351957823303917568
"422","naim_bro",919745882
"423","naim_bro",848444828887154688
"424","naim_bro",506692010
"425","naim_bro",3192944717
"426","naim_bro",67795082
"427","naim_bro",948958433373491200
"428","naim_bro",1395845895028084736
"429","naim_bro",72667337
"430","naim_bro",85195542
"431","naim_bro",747634751071227904
"432","naim_bro",70276270
"433","naim_bro",118442216
"434","naim_bro",1342971672224280576
"435","naim_bro",167562042
"436","naim_bro",1207746150637457408
"437","naim_bro",208852043
"438","naim_bro",2209884625
"439","naim_bro",1258799220783558656
"440","naim_bro",101535933
"441","naim_bro",1730632224
"442","naim_bro",59544104
"443","naim_bro",51605684
"444","naim_bro",4703167472
"445","naim_bro",214582803
"446","naim_bro",21156450
"447","naim_bro",1056525959334187008
"448","naim_bro",1022303940
"449","naim_bro",2893463853
"450","naim_bro",521651938
"451","naim_bro",545587520
"452","naim_bro",118192889
"453","naim_bro",745743505
"454","naim_bro",151190865
"455","naim_bro",944253031767519232
"456","naim_bro",350146149
"457","naim_bro",879155995276169216
"458","naim_bro",3112968532
"459","naim_bro",1249807829126520832
"460","naim_bro",137576673
"461","naim_bro",239554022
"462","naim_bro",32545260
"463","naim_bro",181818019
"464","naim_bro",1284844620
"465","naim_bro",1384642822255661056
"466","naim_bro",195053704
"467","naim_bro",211997410
"468","naim_bro",1254649429
"469","naim_bro",67489554
"470","naim_bro",32685022
"471","naim_bro",829736537810169856
"472","naim_bro",103703352
"473","naim_bro",1216523025019035648
"474","naim_bro",1326180078
"475","naim_bro",724413435035959296
"476","naim_bro",3033158722
"477","naim_bro",899134134571982848
"478","naim_bro",61122180
"479","naim_bro",51649452
"480","naim_bro",13608922
"481","naim_bro",392081509
"482","naim_bro",4309421727
"483","naim_bro",73658962
"484","naim_bro",321706342
"485","naim_bro",63485914
"486","naim_bro",97305213
"487","naim_bro",67206759
"488","naim_bro",636604377
"489","naim_bro",44831133
"490","naim_bro",1390115651507953664
"491","naim_bro",521851540
"492","naim_bro",1119947886312161280
"493","naim_bro",857208623986077696
"494","naim_bro",1397577736982601728
"495","naim_bro",748606357
"496","naim_bro",122777354
"497","naim_bro",187066055
"498","naim_bro",1237405541061799936
"499","naim_bro",365109530
"500","naim_bro",1332266358453788672
"501","naim_bro",1391849422980517888
"502","naim_bro",3303698638
"503","naim_bro",842231359896731648
"504","naim_bro",72411279
"505","naim_bro",263268145
"506","naim_bro",567705215
"507","naim_bro",1211028725183049728
"508","naim_bro",31509911
"509","naim_bro",4229711373
"510","naim_bro",811672699
"511","naim_bro",3447570437
"512","naim_bro",118218954
"513","naim_bro",122431192
"514","naim_bro",326829672
"515","naim_bro",123415725
"516","naim_bro",82209447
"517","naim_bro",1289725608558198784
"518","naim_bro",3028082081
"519","naim_bro",84700255
"520","naim_bro",65407400
"521","naim_bro",1186768754031677440
"522","naim_bro",335391048
"523","naim_bro",221950258
"524","naim_bro",1072527129387122688
"525","naim_bro",234208396
"526","naim_bro",1251690065383821312
"527","naim_bro",1319460530738909184
"528","naim_bro",434434591
"529","naim_bro",45677148
"530","naim_bro",1172142931412705280
"531","naim_bro",133867430
"532","naim_bro",95004713
"533","naim_bro",256552345
"534","naim_bro",86659564
"535","naim_bro",62148319
"536","naim_bro",348879715
"537","naim_bro",1190458766761877504
"538","naim_bro",1084964163242332160
"539","naim_bro",88851639
"540","naim_bro",145264788
"541","naim_bro",92452211
"542","naim_bro",51505348
"543","naim_bro",78434742
"544","naim_bro",1261541056698396672
"545","naim_bro",1376990530920415232
"546","naim_bro",23666337
"547","naim_bro",54903700
"548","naim_bro",1357321565168414720
"549","naim_bro",1348851013315387392
"550","naim_bro",1185941285900828672
"551","naim_bro",963495835563642880
"552","naim_bro",957970221339480064
"553","naim_bro",32163047
"554","naim_bro",2528826607
"555","naim_bro",119798491
"556","naim_bro",101607474
"557","naim_bro",300920758
"558","naim_bro",16320716
"559","naim_bro",48192924
"560","naim_bro",61775313
"561","naim_bro",9697802
"562","naim_bro",19046859
"563","naim_bro",98722968
"564","naim_bro",2402486687
"565","naim_bro",1356575174
"566","naim_bro",165844038
"567","naim_bro",1233746856133451776
"568","naim_bro",495514739
"569","naim_bro",1344625397737148416
"570","naim_bro",181622775
"571","naim_bro",66298829
"572","naim_bro",3631682235
"573","naim_bro",2233391938
"574","naim_bro",1025241678
"575","naim_bro",118877385
"576","naim_bro",100774938
"577","naim_bro",58945318
"578","naim_bro",200867675
"579","naim_bro",3171563649
"580","naim_bro",1368629822226857984
"581","naim_bro",321764186
"582","naim_bro",952568086842019840
"583","naim_bro",380077515
"584","naim_bro",1320928157923508224
"585","naim_bro",364581970
"586","naim_bro",1095092546420781056
"587","naim_bro",14269079
"588","naim_bro",49842320
"589","naim_bro",133946203
"590","naim_bro",1365001306843267072
"591","naim_bro",452612353
"592","naim_bro",261450104
"593","naim_bro",745700353920864256
"594","naim_bro",564809018
"595","naim_bro",286829963
"596","naim_bro",58594552
"597","naim_bro",1434309554
"598","naim_bro",1132362434478596096
"599","naim_bro",118537995
"600","naim_bro",75639001
"601","naim_bro",259773474
"602","naim_bro",42896161
"603","naim_bro",59478367
"604","naim_bro",608560000
"605","naim_bro",761058946517913600
"606","naim_bro",181712170
"607","naim_bro",278584154
"608","naim_bro",850155405338710016
"609","naim_bro",1032800054527123456
"610","naim_bro",8756852
"611","naim_bro",1267804849942511616
"612","naim_bro",970873667533099008
"613","naim_bro",32936264
"614","naim_bro",161899018
"615","naim_bro",1253903866413887488
"616","naim_bro",361356677
"617","naim_bro",2218555406
"618","naim_bro",1212790824452313088
"619","naim_bro",1351124081047990272
"620","naim_bro",726992715481796608
"621","naim_bro",1196936577416609792
"622","naim_bro",627604440
"623","naim_bro",397011046
"624","naim_bro",113399505
"625","naim_bro",2745712609
"626","naim_bro",179213908
